,Date,Value,location,parameter,longitude,latitude,Date_Converted
48,2024-08-05T19:00:00+00:00,8.3,1064,pm25,-122.602877,45.496641,2024-08-05 19:00:00+00:00
49,2024-08-05T18:00:00+00:00,7.6,1064,pm25,-122.602877,45.496641,2024-08-05 18:00:00+00:00
50,2024-08-05T17:00:00+00:00,7.2,1064,pm25,-122.602877,45.496641,2024-08-05 17:00:00+00:00
51,2024-08-05T16:00:00+00:00,6.8,1064,pm25,-122.602877,45.496641,2024-08-05 16:00:00+00:00
52,2024-08-05T15:00:00+00:00,6.6,1064,pm25,-122.602877,45.496641,2024-08-05 15:00:00+00:00
53,2024-08-05T14:00:00+00:00,6.7,1064,pm25,-122.602877,45.496641,2024-08-05 14:00:00+00:00
54,2024-08-05T13:00:00+00:00,7.4,1064,pm25,-122.602877,45.496641,2024-08-05 13:00:00+00:00
55,2024-08-05T12:00:00+00:00,7.3,1064,pm25,-122.602877,45.496641,2024-08-05 12:00:00+00:00
56,2024-08-05T11:00:00+00:00,7.3,1064,pm25,-122.602877,45.496641,2024-08-05 11:00:00+00:00
57,2024-08-05T10:00:00+00:00,7.2,1064,pm25,-122.602877,45.496641,2024-08-05 10:00:00+00:00
58,2024-08-05T09:00:00+00:00,7.1,1064,pm25,-122.602877,45.496641,2024-08-05 09:00:00+00:00
59,2024-08-05T08:00:00+00:00,7.3,1064,pm25,-122.602877,45.496641,2024-08-05 08:00:00+00:00
60,2024-08-05T07:00:00+00:00,7,1064,pm25,-122.602877,45.496641,2024-08-05 07:00:00+00:00
61,2024-08-05T06:00:00+00:00,6.8,1064,pm25,-122.602877,45.496641,2024-08-05 06:00:00+00:00
62,2024-08-05T05:00:00+00:00,6.5,1064,pm25,-122.602877,45.496641,2024-08-05 05:00:00+00:00
63,2024-08-05T04:00:00+00:00,6.3,1064,pm25,-122.602877,45.496641,2024-08-05 04:00:00+00:00
64,2024-08-05T03:00:00+00:00,6.1,1064,pm25,-122.602877,45.496641,2024-08-05 03:00:00+00:00
65,2024-08-05T02:00:00+00:00,5.2,1064,pm25,-122.602877,45.496641,2024-08-05 02:00:00+00:00
66,2024-08-05T01:00:00+00:00,5.2,1064,pm25,-122.602877,45.496641,2024-08-05 01:00:00+00:00
67,2024-08-05T00:00:00+00:00,5.2,1064,pm25,-122.602877,45.496641,2024-08-05 00:00:00+00:00
68,2024-08-04T23:00:00+00:00,4.9,1064,pm25,-122.602877,45.496641,2024-08-04 23:00:00+00:00
69,2024-08-04T22:00:00+00:00,4.2,1064,pm25,-122.602877,45.496641,2024-08-04 22:00:00+00:00
70,2024-08-04T21:00:00+00:00,5.1,1064,pm25,-122.602877,45.496641,2024-08-04 21:00:00+00:00
71,2024-08-04T20:00:00+00:00,6.3,1064,pm25,-122.602877,45.496641,2024-08-04 20:00:00+00:00
72,2024-08-04T19:00:00+00:00,6.4,1064,pm25,-122.602877,45.496641,2024-08-04 19:00:00+00:00
73,2024-08-04T18:00:00+00:00,7.7,1064,pm25,-122.602877,45.496641,2024-08-04 18:00:00+00:00
74,2024-08-04T17:00:00+00:00,10.6,1064,pm25,-122.602877,45.496641,2024-08-04 17:00:00+00:00
75,2024-08-04T16:00:00+00:00,11.7,1064,pm25,-122.602877,45.496641,2024-08-04 16:00:00+00:00
76,2024-08-04T15:00:00+00:00,12.2,1064,pm25,-122.602877,45.496641,2024-08-04 15:00:00+00:00
77,2024-08-04T14:00:00+00:00,11.6,1064,pm25,-122.602877,45.496641,2024-08-04 14:00:00+00:00
78,2024-08-04T13:00:00+00:00,7.7,1064,pm25,-122.602877,45.496641,2024-08-04 13:00:00+00:00
79,2024-08-04T12:00:00+00:00,6,1064,pm25,-122.602877,45.496641,2024-08-04 12:00:00+00:00
80,2024-08-04T11:00:00+00:00,6.3,1064,pm25,-122.602877,45.496641,2024-08-04 11:00:00+00:00
81,2024-08-04T10:00:00+00:00,6.1,1064,pm25,-122.602877,45.496641,2024-08-04 10:00:00+00:00
82,2024-08-04T09:00:00+00:00,5.8,1064,pm25,-122.602877,45.496641,2024-08-04 09:00:00+00:00
83,2024-08-04T08:00:00+00:00,5.5,1064,pm25,-122.602877,45.496641,2024-08-04 08:00:00+00:00
84,2024-08-04T07:00:00+00:00,6.2,1064,pm25,-122.602877,45.496641,2024-08-04 07:00:00+00:00
85,2024-08-04T06:00:00+00:00,7.1,1064,pm25,-122.602877,45.496641,2024-08-04 06:00:00+00:00
86,2024-08-04T05:00:00+00:00,7.8,1064,pm25,-122.602877,45.496641,2024-08-04 05:00:00+00:00
87,2024-08-04T04:00:00+00:00,6.7,1064,pm25,-122.602877,45.496641,2024-08-04 04:00:00+00:00
88,2024-08-04T03:00:00+00:00,6.7,1064,pm25,-122.602877,45.496641,2024-08-04 03:00:00+00:00
89,2024-08-04T02:00:00+00:00,6.8,1064,pm25,-122.602877,45.496641,2024-08-04 02:00:00+00:00
90,2024-08-04T01:00:00+00:00,4.7,1064,pm25,-122.602877,45.496641,2024-08-04 01:00:00+00:00
91,2024-08-04T00:00:00+00:00,4.1,1064,pm25,-122.602877,45.496641,2024-08-04 00:00:00+00:00
92,2024-08-03T23:00:00+00:00,4.2,1064,pm25,-122.602877,45.496641,2024-08-03 23:00:00+00:00
93,2024-08-03T22:00:00+00:00,4.5,1064,pm25,-122.602877,45.496641,2024-08-03 22:00:00+00:00
94,2024-08-03T21:00:00+00:00,3.7,1064,pm25,-122.602877,45.496641,2024-08-03 21:00:00+00:00
95,2024-08-03T20:00:00+00:00,3.7,1064,pm25,-122.602877,45.496641,2024-08-03 20:00:00+00:00
96,2024-08-03T19:00:00+00:00,4.4,1064,pm25,-122.602877,45.496641,2024-08-03 19:00:00+00:00
97,2024-08-03T18:00:00+00:00,4.7,1064,pm25,-122.602877,45.496641,2024-08-03 18:00:00+00:00
98,2024-08-03T17:00:00+00:00,4.9,1064,pm25,-122.602877,45.496641,2024-08-03 17:00:00+00:00
99,2024-08-03T16:00:00+00:00,5.7,1064,pm25,-122.602877,45.496641,2024-08-03 16:00:00+00:00
100,2024-08-03T15:00:00+00:00,5.5,1064,pm25,-122.602877,45.496641,2024-08-03 15:00:00+00:00
101,2024-08-03T14:00:00+00:00,5.3,1064,pm25,-122.602877,45.496641,2024-08-03 14:00:00+00:00
102,2024-08-03T13:00:00+00:00,4.7,1064,pm25,-122.602877,45.496641,2024-08-03 13:00:00+00:00
103,2024-08-03T12:00:00+00:00,4.7,1064,pm25,-122.602877,45.496641,2024-08-03 12:00:00+00:00
104,2024-08-03T11:00:00+00:00,4.7,1064,pm25,-122.602877,45.496641,2024-08-03 11:00:00+00:00
105,2024-08-03T10:00:00+00:00,4.5,1064,pm25,-122.602877,45.496641,2024-08-03 10:00:00+00:00
106,2024-08-03T09:00:00+00:00,4.5,1064,pm25,-122.602877,45.496641,2024-08-03 09:00:00+00:00
107,2024-08-03T08:00:00+00:00,4.3,1064,pm25,-122.602877,45.496641,2024-08-03 08:00:00+00:00
108,2024-08-03T07:00:00+00:00,4.3,1064,pm25,-122.602877,45.496641,2024-08-03 07:00:00+00:00
109,2024-08-03T06:00:00+00:00,3.9,1064,pm25,-122.602877,45.496641,2024-08-03 06:00:00+00:00
110,2024-08-03T05:00:00+00:00,3.4,1064,pm25,-122.602877,45.496641,2024-08-03 05:00:00+00:00
111,2024-08-03T04:00:00+00:00,3.2,1064,pm25,-122.602877,45.496641,2024-08-03 04:00:00+00:00
112,2024-08-03T03:00:00+00:00,4.2,1064,pm25,-122.602877,45.496641,2024-08-03 03:00:00+00:00
